# split	stem	reason
train	27577	image 含 NaN/Inf
train	27542	image 含 NaN/Inf
train	895	image 含 NaN/Inf
train	14962	image 含 NaN/Inf
train	46947	image 含 NaN/Inf
train	59490	image 含 NaN/Inf
train	58451	image 含 NaN/Inf
train	47389	image 含 NaN/Inf
train	40302	image 含 NaN/Inf
train	27527	image 含 NaN/Inf
train	26193	image 含 NaN/Inf
train	43538	image 含 NaN/Inf
train	5342	image 含 NaN/Inf
train	40301	image 含 NaN/Inf
train	5730	image 含 NaN/Inf
train	27947	image 含 NaN/Inf
train	59669	image 含 NaN/Inf
train	20787	image 含 NaN/Inf
train	8171	image 含 NaN/Inf
train	32407	image 含 NaN/Inf
train	59678	image 含 NaN/Inf
train	27230	image 含 NaN/Inf
train	14063	image 含 NaN/Inf
train	58008	image 含 NaN/Inf
train	36448	image 含 NaN/Inf
train	26190	image 含 NaN/Inf
train	21216	image 含 NaN/Inf
train	27784	image 含 NaN/Inf
train	61765	image 含 NaN/Inf
train	46953	image 含 NaN/Inf
train	23403	image 含 NaN/Inf
train	27782	image 含 NaN/Inf
train	49861	image 含 NaN/Inf
train	36450	image 含 NaN/Inf
train	356	image 含 NaN/Inf
train	40299	image 含 NaN/Inf
train	27516	image 含 NaN/Inf
train	5738	image 含 NaN/Inf
train	14821	image 含 NaN/Inf
train	45984	image 含 NaN/Inf
train	35525	image 含 NaN/Inf
train	27536	image 含 NaN/Inf
train	59673	image 含 NaN/Inf
train	49862	image 含 NaN/Inf
train	14956	image 含 NaN/Inf
train	58009	image 含 NaN/Inf
train	59676	image 含 NaN/Inf
train	56525	image 含 NaN/Inf
train	27541	image 含 NaN/Inf
train	14954	image 含 NaN/Inf
train	3140	image 含 NaN/Inf
train	5347	image 含 NaN/Inf
train	56753	image 含 NaN/Inf
train	59305	image 含 NaN/Inf
train	14958	image 含 NaN/Inf
train	20776	image 含 NaN/Inf
train	32465	image 含 NaN/Inf
train	47392	image 含 NaN/Inf
train	5737	image 含 NaN/Inf
train	59010	image 含 NaN/Inf
train	40297	image 含 NaN/Inf
train	43150	image 含 NaN/Inf
train	59015	image 含 NaN/Inf
train	5857	image 含 NaN/Inf
train	27491	image 含 NaN/Inf
train	58261	image 含 NaN/Inf
train	353	image 含 NaN/Inf
train	56758	image 含 NaN/Inf
train	23412	image 含 NaN/Inf
train	59304	image 含 NaN/Inf
train	59674	image 含 NaN/Inf
train	27233	image 含 NaN/Inf
train	47400	image 含 NaN/Inf
train	15426	image 含 NaN/Inf
train	52725	image 含 NaN/Inf
train	59496	image 含 NaN/Inf
train	59665	image 含 NaN/Inf
train	56528	image 含 NaN/Inf
train	12390	image 含 NaN/Inf
train	46942	image 含 NaN/Inf
train	58005	image 含 NaN/Inf
train	59014	image 含 NaN/Inf
train	26188	image 含 NaN/Inf
train	5344	image 含 NaN/Inf
train	358	image 含 NaN/Inf
train	20777	image 含 NaN/Inf
train	3121	image 含 NaN/Inf
train	56701	image 含 NaN/Inf
train	27543	image 含 NaN/Inf
train	13491	image 含 NaN/Inf
train	59009	image 含 NaN/Inf
train	27563	image 含 NaN/Inf
train	46946	image 含 NaN/Inf
train	363	image 含 NaN/Inf
train	46945	image 含 NaN/Inf
train	27494	image 含 NaN/Inf
train	27558	image 含 NaN/Inf
train	8172	image 含 NaN/Inf
train	49860	image 含 NaN/Inf
train	56527	image 含 NaN/Inf
train	46954	image 含 NaN/Inf
train	26199	image 含 NaN/Inf
train	40294	image 含 NaN/Inf
train	9119	image 含 NaN/Inf
train	21214	image 含 NaN/Inf
train	20783	image 含 NaN/Inf
train	27572	image 含 NaN/Inf
train	27518	image 含 NaN/Inf
train	3083	image 含 NaN/Inf
train	41340	image 含 NaN/Inf
train	27496	image 含 NaN/Inf
train	14963	image 含 NaN/Inf
train	40303	image 含 NaN/Inf
train	27783	image 含 NaN/Inf
train	52720	image 含 NaN/Inf
train	56754	image 含 NaN/Inf
train	12382	image 含 NaN/Inf
train	3062	image 含 NaN/Inf
train	52723	image 含 NaN/Inf
train	30522	image 含 NaN/Inf
train	366	image 含 NaN/Inf
train	61180	image 含 NaN/Inf
train	59016	image 含 NaN/Inf
train	59295	image 含 NaN/Inf
train	27785	image 含 NaN/Inf
train	15421	image 含 NaN/Inf
train	27578	image 含 NaN/Inf
train	26196	image 含 NaN/Inf
train	26195	image 含 NaN/Inf
train	29888	image 含 NaN/Inf
train	52722	image 含 NaN/Inf
train	32473	image 含 NaN/Inf
train	59301	image 含 NaN/Inf
train	3142	image 含 NaN/Inf
train	27490	image 含 NaN/Inf
train	44051	image 含 NaN/Inf
train	59299	image 含 NaN/Inf
train	52716	image 含 NaN/Inf
train	46949	image 含 NaN/Inf
train	16420	image 含 NaN/Inf
train	36447	image 含 NaN/Inf
train	12385	image 含 NaN/Inf
train	16421	image 含 NaN/Inf
train	43537	image 含 NaN/Inf
train	27517	image 含 NaN/Inf
train	3131	image 含 NaN/Inf
train	23415	image 含 NaN/Inf
train	58450	image 含 NaN/Inf
