# split	stem	reason
train	61908	image 含 NaN/Inf
train	59836	image 含 NaN/Inf
train	59891	image 含 NaN/Inf
train	40640	image 含 NaN/Inf
train	53060	image 含 NaN/Inf
train	60030	image 含 NaN/Inf
train	23747	image 含 NaN/Inf
train	57041	image 含 NaN/Inf
train	47282	image 含 NaN/Inf
train	23742	image 含 NaN/Inf
train	30227	image 含 NaN/Inf
train	14955	image 含 NaN/Inf
train	8283	image 含 NaN/Inf
train	15092	image 含 NaN/Inf
train	59838	image 含 NaN/Inf
train	22683	image 含 NaN/Inf
train	59840	image 含 NaN/Inf
train	59475	image 含 NaN/Inf
train	58788	image 含 NaN/Inf
train	52803	image 含 NaN/Inf
train	3251	image 含 NaN/Inf
train	364	image 含 NaN/Inf
train	22686	image 含 NaN/Inf
train	27570	image 含 NaN/Inf
train	21348	image 含 NaN/Inf
train	26536	image 含 NaN/Inf
train	21346	image 含 NaN/Inf
train	12521	image 含 NaN/Inf
train	56863	image 含 NaN/Inf
train	40642	image 含 NaN/Inf
train	58792	image 含 NaN/Inf
train	14957	image 含 NaN/Inf
train	53059	image 含 NaN/Inf
train	34834	image 含 NaN/Inf
train	354	image 含 NaN/Inf
train	56862	image 含 NaN/Inf
train	60199	image 含 NaN/Inf
train	59837	image 含 NaN/Inf
train	50201	image 含 NaN/Inf
train	40633	image 含 NaN/Inf
train	57095	image 含 NaN/Inf
train	59480	image 含 NaN/Inf
train	32806	image 含 NaN/Inf
train	60206	image 含 NaN/Inf
train	59894	image 含 NaN/Inf
train	10449	image 含 NaN/Inf
train	58787	image 含 NaN/Inf
train	5843	image 含 NaN/Inf
train	58680	image 含 NaN/Inf
train	59839	image 含 NaN/Inf
train	53063	image 含 NaN/Inf
train	12517	image 含 NaN/Inf
train	57092	image 含 NaN/Inf
train	59483	image 含 NaN/Inf
train	23741	image 含 NaN/Inf
train	23751	image 含 NaN/Inf
train	62300	image 含 NaN/Inf
train	26528	image 含 NaN/Inf
train	46319	image 含 NaN/Inf
train	30228	image 含 NaN/Inf
train	57096	image 含 NaN/Inf
train	58344	image 含 NaN/Inf
train	47291	image 含 NaN/Inf
train	36783	image 含 NaN/Inf
train	56867	image 含 NaN/Inf
train	44959	image 含 NaN/Inf
train	5840	image 含 NaN/Inf
train	365	image 含 NaN/Inf
train	23750	image 含 NaN/Inf
