# split	stem	reason
train	27500	image 含 NaN/Inf
train	19283	image 含 NaN/Inf
train	351	image 含 NaN/Inf
train	23414	image 含 NaN/Inf
train	59017	image 含 NaN/Inf
train	23416	image 含 NaN/Inf
train	27231	image 含 NaN/Inf
train	23401	image 含 NaN/Inf
train	364	image 含 NaN/Inf
train	12387	image 含 NaN/Inf
train	27505	image 含 NaN/Inf
train	5735	image 含 NaN/Inf
train	15420	image 含 NaN/Inf
train	52722	image 含 NaN/Inf
train	12388	image 含 NaN/Inf
train	27504	image 含 NaN/Inf
train	58262	image 含 NaN/Inf
train	28678	image 含 NaN/Inf
train	46942	image 含 NaN/Inf
train	32461	image 含 NaN/Inf
train	32472	image 含 NaN/Inf
train	14955	image 含 NaN/Inf
train	56527	image 含 NaN/Inf
train	27531	image 含 NaN/Inf
train	12379	image 含 NaN/Inf
train	24453	image 含 NaN/Inf
train	15429	image 含 NaN/Inf
train	36093	image 含 NaN/Inf
train	46946	image 含 NaN/Inf
train	52465	image 含 NaN/Inf
train	15428	image 含 NaN/Inf
train	26201	image 含 NaN/Inf
train	46953	image 含 NaN/Inf
train	47400	image 含 NaN/Inf
train	9019	image 含 NaN/Inf
train	45983	image 含 NaN/Inf
train	20779	image 含 NaN/Inf
train	32402	image 含 NaN/Inf
train	27508	image 含 NaN/Inf
train	59015	image 含 NaN/Inf
train	3143	image 含 NaN/Inf
train	59355	image 含 NaN/Inf
train	27570	image 含 NaN/Inf
train	56754	image 含 NaN/Inf
train	58006	image 含 NaN/Inf
train	59356	image 含 NaN/Inf
train	19292	image 含 NaN/Inf
train	27499	image 含 NaN/Inf
train	40300	image 含 NaN/Inf
train	47380	image 含 NaN/Inf
train	26198	image 含 NaN/Inf
train	20780	image 含 NaN/Inf
train	27562	image 含 NaN/Inf
train	31111	image 含 NaN/Inf
train	35526	image 含 NaN/Inf
train	36804	image 含 NaN/Inf
train	59010	image 含 NaN/Inf
train	14957	image 含 NaN/Inf
train	27552	image 含 NaN/Inf
train	20778	image 含 NaN/Inf
train	29889	image 含 NaN/Inf
train	41339	image 含 NaN/Inf
train	21215	image 含 NaN/Inf
train	28674	image 含 NaN/Inf
train	47372	image 含 NaN/Inf
train	59011	image 含 NaN/Inf
train	3129	image 含 NaN/Inf
train	14959	image 含 NaN/Inf
train	355	image 含 NaN/Inf
train	47398	image 含 NaN/Inf
train	27521	image 含 NaN/Inf
train	26191	image 含 NaN/Inf
train	53183	image 含 NaN/Inf
train	27553	image 含 NaN/Inf
train	49863	image 含 NaN/Inf
train	32406	image 含 NaN/Inf
train	52464	image 含 NaN/Inf
train	45982	image 含 NaN/Inf
train	27550	image 含 NaN/Inf
train	27577	image 含 NaN/Inf
train	28684	image 含 NaN/Inf
train	58452	image 含 NaN/Inf
train	5334	image 含 NaN/Inf
train	56753	image 含 NaN/Inf
train	27546	image 含 NaN/Inf
train	59664	image 含 NaN/Inf
train	61765	image 含 NaN/Inf
train	14962	image 含 NaN/Inf
train	59361	image 含 NaN/Inf
train	3084	image 含 NaN/Inf
train	12389	image 含 NaN/Inf
train	45980	image 含 NaN/Inf
train	28677	image 含 NaN/Inf
