# split	stem	reason
train	5717_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5684_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5796_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5619_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5666_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5664_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5601_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5591_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5662_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5754_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5569_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5639_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5609_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5580_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5715_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5574_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5553_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 5)
train	6064_0_0	image 含 NaN/Inf
train	5646_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5745_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5718_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5592_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5535_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5722_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5572_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5598_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5768_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5545_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5575_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5740_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5599_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5750_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5633_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5694_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	7726_0_0	image 含 NaN/Inf
train	5617_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5661_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5774_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5554_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5777_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5631_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5800_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5534_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5656_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5579_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5701_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
